emp_no,first_name,last_name,salary,title,dept_name
11844,Shawna,Demeyer,78049,Senior Engineer,Development
11853,Zeljko,Kusakabe,61941,Senior Staff,Marketing
11857,Divier,Farrag,94805,Senior Staff,Sales
11864,Pradeep,Kriebel,52517,Staff,Customer Service
11871,Nalini,Sommen,67424,Senior Engineer,Development
11872,Cheong,Riexinger,43159,Senior Staff,Marketing
11894,Mitchel,Validov,56198,Senior Engineer,Development
11897,Cordelia,Setlzner,80049,Senior Staff,Sales
11906,Hideo,Boguraev,81324,Engineer,Development
11915,Miomir,Mawatari,58042,Senior Engineer,Production
11931,Gunilla,Chiodo,73369,Senior Staff,Research
11933,Basil,Erman,56130,Senior Engineer,Development
11949,Martijn,Harbusch,40000,Technique Leader,Production
11983,Jaana,Hedayat,40000,Senior Engineer,Development
11993,Marit,Dalphin,56505,Senior Staff,Human Resources
12011,Zhilian,Coorg,85833,Senior Staff,Sales
12036,Mads,Ratzlaff,67143,Senior Staff,Sales
12037,Arunas,Katzenelson,47805,Senior Staff,Customer Service
12050,Yuchang,Tchuente,46704,Engineer,Production
12062,Margareta,Worfolk,44199,Senior Staff,Human Resources
12069,Ayonca,Burnard,51928,Senior Engineer,Development
12070,Ger,Shokrollahi,50233,Technique Leader,Development
12076,Karlis,Siprelle,75381,Senior Staff,Sales
12082,Xinan,Yamaashi,72118,Senior Staff,Sales
12089,Bilhanan,Socorro,46288,Senior Staff,Human Resources
12099,Nobuyoshi,Kuzuoka,104610,Senior Staff,Sales
12112,Satyanarayana,Avouris,76538,Senior Staff,Finance
12122,Satoru,Krone,46398,Senior Engineer,Production
12123,Xiahua,Syrzycki,64879,Senior Staff,Research
12125,Shounak,Erman,41215,Engineer,Production
12149,Suebskul,Grandbois,109934,Senior Staff,Sales
12159,Shem,Perly,61210,Senior Engineer,Development
12165,Xiaobin,Maquelin,41951,Senior Engineer,Development
12183,Harngdar,Iisaku,40000,Engineer,Quality Management
12192,Feiyu,Klyachko,41625,Senior Engineer,Quality Management
12205,Sushant,Rossi,40000,Senior Engineer,Development
12206,Barton,Janetzko,40000,Senior Engineer,Development
12218,Yaghout,Strooper,40000,Senior Engineer,Quality Management
12221,Vincent,Melter,56736,Senior Engineer,Development
12222,Abdelwaheb,Holburn,55840,Senior Staff,Finance
12223,Niteen,Koyama,54459,Senior Engineer,Production
12247,Subbu,Penttonen,59183,Technique Leader,Development
12249,Eldridge,Sadowski,70099,Senior Engineer,Development
12256,Guadalupe,Reghbati,40000,Senior Staff,Human Resources
12264,Mart,Pagter,51816,Engineer,Development
12270,Shakhar,Kornyak,52840,Senior Staff,Research
12272,Behnaam,Grandbois,43811,Senior Staff,Human Resources
12308,Mototsugu,Cronau,58741,Senior Staff,Human Resources
12311,Susanne,Lubachevsky,40000,Senior Engineer,Development
12327,DAIDA,Bruckman,67449,Senior Engineer,Development
12341,Rasiah,Luga,40000,Senior Engineer,Development
12343,Sorina,Slaats,52134,Senior Staff,Production
12365,Kamakshi,Bisiani,40000,Senior Engineer,Production
12373,Mooi,Driscoll,75986,Senior Staff,Sales
12395,Sanjit,Felder,66909,Senior Staff,Finance
12399,Mihalis,Luga,85582,Senior Staff,Sales
12411,Shao,Ibel,97610,Senior Staff,Sales
12413,Hugh,Gadepally,53179,Senior Engineer,Production
12417,Dannz,Spelt,67342,Senior Engineer,Production
12422,Berhard,Demos,71376,Senior Staff,Human Resources
12454,Kerryn,Farris,41347,Staff,Sales
12464,Shai,Milicic,50448,Staff,Sales
12475,Filipe,Roison,40000,Senior Engineer,Development
12487,Mona,Reghbati,40000,Senior Staff,Finance
12489,Arnould,Munck,63306,Senior Engineer,Development
12490,Jackson,Muchinsky,40000,Senior Engineer,Development
12497,Stein,Penz,81191,Senior Staff,Sales
12501,Morrie,Matheson,76082,Senior Staff,Finance
12504,Adly,Rosaz,40000,Engineer,Production
12514,Tomofumi,Melter,54241,Engineer,Development
12528,Conor,Cincotta,40000,Senior Staff,Customer Service
12534,Yongmao,Gerlach,66715,Senior Engineer,Production
12541,Shih,Nanard,93105,Senior Staff,Sales
12542,Kazuhide,Bouloucos,44176,Senior Staff,Human Resources
12551,Jeane,Tzvieli,40000,Senior Engineer,Production
12553,Aral,Vesna,40000,Senior Staff,Human Resources
12557,Stafford,Kopetz,41840,Senior Engineer,Production
12589,Anoosh,Chleq,59441,Senior Engineer,Development
12596,Breannda,Roisin,40000,Senior Staff,Human Resources
12601,Ghassan,Simkin,41714,Senior Engineer,Development
12608,Nectarios,Mondadori,40000,Senior Staff,Human Resources
12635,Xinyu,Restivo,40000,Senior Engineer,Customer Service
12638,Yuqun,Seiwald,56677,Engineer,Development
12642,Suebskul,Gips,68271,Senior Staff,Marketing
12651,Pragnesh,Bael,75150,Senior Staff,Sales
12662,Leucio,Alvarado,69016,Engineer,Development
12663,Nobuyoshi,Stellhorn,49966,Technique Leader,Development
12664,Zhonghua,Parveen,40000,Staff,Customer Service
12689,Luerbio,Boudaillier,59689,Senior Engineer,Development
12691,Oddvar,Gils,48493,Senior Engineer,Production
12697,Uri,Brizzi,40000,Senior Staff,Human Resources
12709,Ronghao,Botman,45510,Senior Engineer,Development
12717,Tzu,Jiafu,53194,Staff,Research
12722,Elliott,Cheshire,62325,Senior Staff,Finance
12726,Fumitake,Panwar,61177,Senior Engineer,Development
12729,Nahla,Rahier,51796,Senior Engineer,Customer Service
12731,Yongmao,Waymire,40000,Senior Staff,Human Resources
12732,Mara,Takanami,74436,Senior Staff,Sales
12734,Gil,Frijda,40000,Senior Engineer,Development
12755,Rildo,Rodite,40196,Senior Staff,Human Resources
12773,Jenwei,Lovengreen,65556,Senior Engineer,Development
12790,Gunilla,Perl,87760,Senior Staff,Sales
12795,Masoud,Fordan,56969,Senior Staff,Finance
12798,Lillian,Beeson,81145,Senior Staff,Sales
12803,Gad,Boissier,91789,Senior Staff,Marketing
12815,Sushant,Junot,65073,Senior Staff,Research
12819,Mountaz,Gubsky,48455,Senior Engineer,Production
12848,Kazuhide,Smeets,40000,Engineer,Development
12863,Leif,Matheson,62803,Senior Engineer,Production
12872,Marl,Schmittgen,56040,Senior Staff,Sales
12879,Baruch,Eugenio,40000,Senior Engineer,Development
12890,Neven,Casley,66803,Senior Staff,Sales
12893,Licheng,Crouzet,50803,Senior Staff,Sales
12895,Roddy,Serot,40000,Senior Engineer,Production
12905,Munehiro,Gecsei,58659,Senior Engineer,Development
12926,Heekeun,Luby,68314,Senior Staff,Research
12940,Odinaldo,Farrar,49760,Senior Engineer,Development
12941,Tommaso,Perelgut,67069,Senior Engineer,Development
12949,Geoff,Asrin,40000,Senior Engineer,Development
12977,Byong,Markovitch,61326,Senior Engineer,Development
12983,Elliott,Hambrick,57252,Staff,Finance
13030,Yahiko,Kroll,51770,Senior Staff,Marketing
13046,Vivian,Stafford,40000,Senior Staff,Finance
13047,Atilio,Chelton,52323,Senior Engineer,Development
13075,Rosella,Morrin,40000,Senior Staff,Marketing
13076,Deniz,Skafidas,50582,Engineer,Development
13096,Ibibia,Armand,52544,Senior Engineer,Quality Management
13103,Srinidhi,Ellozy,40000,Senior Engineer,Development
13124,Quingbo,Garnick,73785,Senior Staff,Sales
13133,Guther,Senzako,67777,Senior Staff,Customer Service
13134,Lorien,Chepyzhov,51227,Senior Engineer,Production
13144,Persi,Nollmann,52825,Senior Staff,Finance
13146,Haldon,Erie,61398,Senior Staff,Sales
13147,Shichao,Ginesta,77429,Senior Staff,Sales
13156,Akeel,Millington,48285,Senior Engineer,Development
13165,Lucian,Benner,42796,Senior Engineer,Quality Management
13168,Munir,Stentiford,49210,Senior Engineer,Production
13170,Cheong,Bernardeschi,49012,Senior Staff,Human Resources
13171,Anoosh,Birnbaum,40000,Senior Engineer,Quality Management
13173,Arve,Horswill,46354,Senior Staff,Sales
13179,Moty,Janocha,90233,Staff,Sales
13182,Kokou,Rodite,46832,Engineer,Production
13186,Kyoichi,Barbanera,93138,Senior Staff,Sales
13192,Rosita,Flowers,43986,Technique Leader,Production
13202,Aram,Scharstein,51915,Senior Staff,Research
13210,Jianhua,Klassen,83961,Senior Staff,Marketing
13213,Hein,Billawala,61131,Senior Staff,Sales
13232,Mitchel,Fujisaki,40000,Technique Leader,Development
13233,Alselm,Chvatal,49414,Senior Engineer,Development
13238,Ebru,Foote,40000,Senior Staff,Sales
13240,King,Pileggi,49018,Senior Engineer,Development
13250,Zeydy,Schusler,47829,Senior Engineer,Production
13272,Arun,Jiang,40000,Senior Staff,Customer Service
13276,Yechiam,Seuren,65836,Senior Staff,Finance
13288,Muneo,Broomell,40000,Senior Staff,Human Resources
13291,Georg,Stamatiou,54720,Senior Engineer,Development
13302,Mack,Alencar,40000,Senior Engineer,Development
13315,Sakthirel,Stroustrup,40000,Senior Engineer,Development
13332,Nidapan,Pearson,40000,Senior Engineer,Production
13333,Yoshinari,Hennebert,50997,Engineer,Production
13341,Bodh,Doering,40000,Senior Staff,Marketing
13343,Heon,Usery,40000,Senior Staff,Finance
13368,Kiyokazu,Klassen,52872,Staff,Human Resources
13371,Nakhoon,Riexinger,40000,Senior Engineer,Production
13373,Juichirou,Naumovich,82749,Senior Staff,Human Resources
13385,Claudi,Buchter,40000,Senior Staff,Human Resources
13386,Khosrow,Sgarro,91420,Technique Leader,Development
13389,Divine,Cmelik,40000,Senior Staff,Research
13392,Fumitake,Beidas,69221,Senior Staff,Sales
13396,Chuanyi,Aumann,40000,Senior Staff,Customer Service
13402,Augustine,Dulli,40000,Engineer,Research
13405,Randy,Baba,60799,Senior Staff,Sales
13407,Gio,Chenoweth,60348,Senior Engineer,Production
13408,Sreekrishna,Lagarias,52479,Senior Engineer,Production
13415,Nathalie,Speer,61838,Technique Leader,Quality Management
13422,Vishwani,Gerlach,59466,Senior Engineer,Quality Management
13442,Giordano,Miake,40000,Senior Staff,Human Resources
13443,Mayuko,Puppo,40000,Senior Engineer,Quality Management
13445,Renee,Dehkordi,53194,Engineer,Production
13451,Gretta,Weiland,40000,Senior Staff,Human Resources
13457,Shooichi,Parfitt,40812,Senior Engineer,Quality Management
13458,Feipei,Nivat,41375,Senior Engineer,Customer Service
13463,Theron,Berstel,40000,Senior Engineer,Production
13465,Sasan,Rehfuss,49821,Engineer,Production
13493,Uinam,Jullig,40000,Senior Engineer,Development
13504,Parto,Mandell,41895,Engineer,Development
13524,Chaoyi,Porotnikoff,52849,Senior Staff,Sales
13535,Arunas,Schlenzig,40000,Senior Engineer,Production
13546,Aimee,Brookner,50295,Senior Engineer,Production
13549,Matk,Koprowski,40000,Technique Leader,Development
13552,Ingmar,Capobianchi,73346,Senior Staff,Research
13576,Jungsoon,Engberts,73022,Senior Staff,Development
13605,Dmitry,Encarnacion,70404,Senior Staff,Sales
13621,Fei,Haddadi,73192,Engineer,Development
13624,Zhigen,Yurek,40000,Senior Staff,Human Resources
13629,Dzung,Trelles,40000,Senior Engineer,Development
13648,Zejun,Lamba,47723,Technique Leader,Production
13653,Kristen,Iivonen,53242,Senior Staff,Human Resources
13670,Moti,Takanami,40000,Senior Engineer,Development
13680,Denny,Speer,46968,Staff,Sales
13685,Weicheng,Hockney,48322,Senior Engineer,Development
13697,Shuichi,Weedon,40000,Technique Leader,Development
13704,Vishu,Kumaresan,40000,Senior Engineer,Production
13721,Sugwoo,Delgrossi,64754,Senior Staff,Sales
13727,Vitali,Merey,50798,Staff,Human Resources
13738,Bangqing,Mitchem,48349,Engineer,Development
13766,Tremaine,Heemskerk,43748,Senior Staff,Customer Service
13769,Yakichi,Trogemann,61025,Senior Staff,Sales
13775,Arve,Maierhofer,70161,Senior Staff,Sales
13786,Takushi,Berendt,74494,Senior Staff,Sales
13787,Xiaobin,Sinicrope,40000,Senior Engineer,Production
13792,Valery,Sury,59127,Senior Staff,Finance
13796,Paloma,Thorelli,50962,Engineer,Development
13809,Kiyotoshi,Basagni,43735,Senior Staff,Customer Service
13815,Guadalupe,Plotkin,40000,Senior Engineer,Production
13825,Arlette,Pell,54704,Technique Leader,Production
13841,Christophe,Spinelli,52277,Technique Leader,Quality Management
13842,Juichirou,Cichocki,40000,Senior Staff,Research
13846,Guiseppe,Welham,61097,Senior Staff,Research
13853,Mingsen,Roohalamini,61615,Senior Staff,Research
13859,Anoosh,Fujisawa,40000,Senior Engineer,Development
13884,Kensei,Swift,44785,Engineer,Production
13894,Ult,Schonegge,48958,Engineer,Production
13904,Youngkon,Cairo,73885,Senior Engineer,Development
13934,Shiv,Bratsberg,46507,Senior Engineer,Development
13942,Elzbieta,Esteva,40000,Technique Leader,Development
13951,Mooi,Genther,82054,Senior Staff,Sales
13960,Nechama,Hettesheimer,43204,Senior Staff,Finance
13962,Maris,Ghelli,67965,Senior Engineer,Production
13966,Boguslaw,Cooman,40000,Senior Staff,Customer Service
13969,Jianwen,Chandrasekhar,60392,Technique Leader,Development
13990,Deborah,Schapiro,52723,Engineer,Development
13992,Ulises,Kenevan,81318,Senior Staff,Finance
13999,Florian,Crouzet,40000,Senior Staff,Human Resources
14005,Vojin,Stellhorn,40000,Technique Leader,Development
14015,Manibrata,Picaronny,63084,Senior Engineer,Quality Management
14034,Aloys,Seghrouchni,69700,Senior Staff,Finance
14041,Shan,DeMori,63235,Senior Staff,Marketing
14067,Godehard,Trachtenberg,44669,Senior Engineer,Production
14088,Mori,Leslie,44821,Senior Staff,Research
14107,Xiahua,Rindone,82396,Senior Staff,Marketing
14111,Leszek,Cummings,52696,Senior Staff,Customer Service
14118,Kasturi,Anido,46248,Senior Staff,Customer Service
14167,Adas,Hertweck,40000,Senior Engineer,Production
14191,Jiann,Luby,40155,Senior Engineer,Development
14209,Masanao,Kusakabe,40000,Senior Staff,Research
14220,Tomofumi,Pargas,68017,Senior Engineer,Production
14232,Masali,Bojadziev,50568,Senior Engineer,Development
14236,Xuedong,Angiulli,40000,Senior Staff,Research
14237,Abdulla,Gerlach,57219,Senior Engineer,Customer Service
14242,Sudhanshu,Benaini,40000,Senior Staff,Customer Service
14257,Kwok,Massonet,40000,Staff,Production
14290,Miyeon,Olivero,78736,Senior Engineer,Production
14292,Susanna,Vigier,41846,Senior Staff,Research
14298,Chriss,Granlund,40000,Senior Engineer,Production
14310,Marlo,Leuchs,40000,Senior Staff,Sales
14320,Sreenivas,Schaar,40000,Senior Engineer,Production
14322,Shem,Kakkad,50363,Engineer,Development
14323,Golgen,Leslie,40000,Staff,Production
14340,Vitaly,Wixon,42858,Senior Engineer,Production
14344,Otilia,Buescher,41979,Technique Leader,Production
14354,Mong,Bojadziev,40000,Senior Staff,Sales
14360,Janche,Erbe,43476,Senior Staff,Research
14372,Saniya,Srimani,57667,Engineer,Research
14384,Tomofumi,Holburn,58260,Technique Leader,Development
14422,Toshimo,Gadepally,59001,Senior Engineer,Production
14434,Elvis,Maginnis,40000,Technique Leader,Development
14439,Raimond,Woycyznski,80654,Senior Engineer,Quality Management
14460,Yagil,Lueh,56267,Senior Engineer,Production
14478,Munehiro,Boissier,40000,Senior Staff,Sales
14481,Moti,Lammel,40000,Senior Engineer,Production
14483,Supot,Marrevee,40000,Senior Engineer,Development
14486,Indrajit,Birdsall,40000,Senior Engineer,Production
14498,Xiong,Selenyi,40000,Senior Staff,Human Resources
14501,Taizo,Kroft,63646,Technique Leader,Production
14509,Danil,Aloia,40000,Senior Staff,Finance
14513,Samphel,Barreiro,83273,Senior Staff,Marketing
14515,Kazuhisa,Versino,61645,Senior Engineer,Quality Management
14516,Kristian,Underwood,73262,Senior Staff,Sales
14518,Patricia,Peir,64238,Engineer,Production
14522,Chuanyi,Ranta,40000,Senior Staff,Finance
14537,Babette,Engelmann,48332,Senior Engineer,Quality Management
14552,Ibibia,Snyers,40000,Senior Engineer,Development
14556,Fatemeh,Zultner,40000,Engineer,Production
14560,Elrique,Driscoll,62770,Senior Engineer,Development
14581,Gao,Condotta,59499,Senior Engineer,Development
14582,Kiyokazu,Morrin,40000,Senior Engineer,Development
14600,Jayson,Cairo,41352,Senior Staff,Customer Service
14603,Lech,Marquardt,55369,Senior Engineer,Development
14607,Suzette,Selvestrel,67813,Staff,Sales
14620,Jianhua,Erev,53303,Senior Engineer,Production
14621,Souichi,Wixon,66404,Senior Staff,Sales
14632,Gudjon,McClurg,40000,Senior Engineer,Quality Management
14639,Arvind,Hempstead,79405,Senior Staff,Sales
14640,Toshimori,Kornatzky,42662,Senior Engineer,Development
14642,Florian,Kuhnemann,54553,Senior Engineer,Development
14645,Laurentiu,Glinert,45647,Senior Engineer,Development
14648,IEEE,Lorys,89209,Senior Staff,Sales
14659,Sashi,Adachi,40926,Senior Engineer,Quality Management
14675,Teunis,Angel,40000,Senior Staff,Human Resources
14677,Herbert,Sifakis,40000,Senior Engineer,Production
14683,Alois,Basart,41107,Senior Engineer,Customer Service
14690,Yechezkel,Bellone,40000,Senior Engineer,Development
14693,Brewster,Stranks,59960,Senior Staff,Customer Service
14710,Mahmut,Hainaut,40341,Senior Staff,Marketing
14723,Constantino,Assaf,40000,Senior Staff,Human Resources
14724,Aron,Lemarechal,66530,Senior Staff,Finance
